# Comments on shell extraction
#
# star_pos_pxl:[166.1, 169.1]  # position of star in original datacube pixel (y,x)
# star_pos_wcs:[-62.64006879, 98.9003431]  # position of star in J2000 (dec, ra)
# subcube_size:45  # size in arcsec of each axis of the subcube extracted from the original one.
# rest_line:4861.3  # rest wavelength of the line in angstrom
# wave_range:50  # the range of wavelength considered, centered at rest_line (lambda_blue = rest_line - wave_range/2, lambda_red = rest_line - wave_range/2)
# snr_threshold:2  # when extracting shell, select svoxels with snr greater or equal to this value
# bindata:False  # True if data was binned, False otherwise
# pxl_scl:[0.2 0.2]  # pixel scale in arcsecs (y,x)
# wave_step:1.25  # wavelength step of the cube in angstrom
# minimum_adjacent_pixels:3  # when extracting shell, select those svoxels with at least this number of adjacent svoxels (after applying snr_threshold selection)
# flux_selection:0.1  # when extracting shell, select those svoxels wich flux is greater than flux_selection quantile (after applying minimum_adjacent_pixels selection)
# distance[pc]:501  # distance used to convert PPV into PPP in parsec
# tsn[yrs]:96.5503  # time since nova in years
# vsys[km/s]:1.8  # systemic velocity used to convert PPV into PPP in km/s
# expansion_history:"linear"  # expansion history model used during PPP conversion
# expansion_coeffs:[370]  # coefficients used during PPP conversion (model dependent)
#
# Comments on columns
#
# x,y,z_pxl: svoxel x,y and z position in pixels with respect the central star which is at 0,0,0
# x,y_arcsec: svoxel x and y position in arcsecs in the PPV space with respect the central star
# z_kms: svoxel velocity in km/s in the PPV space with respect the rest_line wavelength
# x,y,z_au: svoxel position in the PPP space in AU with respect the central star
# flux, flux_e: the flux and its uncertainty associated to the svoxel
# snr: lower limit for the signal to noise ratio associated to the svoxel
# belongs_to: if the svoxels belongs to the star, equatorial ring or polar filament
#
x_pxl,y_pxl,z_pxl,x_arcsec,y_arcsec,z_kms,x_au,y_au,z_au,flux,flux_e,snr,belongs_to
1.7,-1.1,-10.01,0.34,-0.22,-772.0,170.0,-110.0,-15760.0,2851.0,648.0,4.0,star
2.7,-1.1,-10.01,0.54,-0.22,-772.0,271.0,-110.0,-15760.0,2301.0,510.0,4.0,star
3.7,-1.1,-10.01,0.74,-0.22,-772.0,371.0,-110.0,-15760.0,1188.0,358.0,3.0,star
4.7,-1.1,-10.01,0.94,-0.22,-772.0,471.0,-110.0,-15760.0,716.0,252.0,2.0,star
5.7,-1.1,-10.01,1.14,-0.22,-772.0,571.0,-110.0,-15760.0,585.0,175.0,3.0,star
14.7,-1.1,-10.01,2.94,-0.22,-772.0,1473.0,-110.0,-15760.0,65.0,24.0,2.0,star
-7.3,-0.1,-10.01,-1.46,-0.02,-772.0,-731.0,-10.0,-15760.0,226.0,91.0,2.0,star
-6.3,-0.1,-10.01,-1.26,-0.02,-772.0,-631.0,-10.0,-15760.0,356.0,123.0,2.0,star
-5.3,-0.1,-10.01,-1.06,-0.02,-772.0,-531.0,-10.0,-15760.0,446.0,176.0,2.0,star
-4.3,-0.1,-10.01,-0.86,-0.02,-772.0,-431.0,-10.0,-15760.0,1038.0,230.0,4.0,star
-3.3,-0.1,-10.01,-0.66,-0.02,-772.0,-331.0,-10.0,-15760.0,1483.0,364.0,4.0,star
-2.3,-0.1,-10.01,-0.46,-0.02,-772.0,-230.0,-10.0,-15760.0,2463.0,519.0,4.0,star
-1.3,-0.1,-10.01,-0.26,-0.02,-772.0,-130.0,-10.0,-15760.0,3710.0,702.0,5.0,star
-0.3,-0.1,-10.01,-0.06,-0.02,-772.0,-30.0,-10.0,-15760.0,4098.0,841.0,4.0,star
0.7,-0.1,-10.01,0.14,-0.02,-772.0,70.0,-10.0,-15760.0,3760.0,778.0,4.0,star
1.7,-0.1,-10.01,0.34,-0.02,-772.0,170.0,-10.0,-15760.0,3003.0,625.0,4.0,star
2.7,-0.1,-10.01,0.54,-0.02,-772.0,271.0,-10.0,-15760.0,1908.0,487.0,3.0,star
3.7,-0.1,-10.01,0.74,-0.02,-772.0,371.0,-10.0,-15760.0,1101.0,347.0,3.0,star
4.7,-0.1,-10.01,0.94,-0.02,-772.0,471.0,-10.0,-15760.0,740.0,241.0,3.0,star
5.7,-0.1,-10.01,1.14,-0.02,-772.0,571.0,-10.0,-15760.0,466.0,159.0,2.0,star
6.7,-0.1,-10.01,1.34,-0.02,-772.0,671.0,-10.0,-15760.0,343.0,115.0,2.0,star
-5.3,0.9,-10.01,-1.06,0.18,-772.0,-531.0,90.0,-15760.0,585.0,176.0,3.0,star
-4.3,0.9,-10.01,-0.86,0.18,-772.0,-431.0,90.0,-15760.0,756.0,223.0,3.0,star
-3.3,0.9,-10.01,-0.66,0.18,-772.0,-331.0,90.0,-15760.0,1287.0,354.0,3.0,star
-0.3,0.9,-10.01,-0.06,0.18,-772.0,-30.0,90.0,-15760.0,3635.0,780.0,4.0,star
0.7,0.9,-10.01,0.14,0.18,-772.0,70.0,90.0,-15760.0,3038.0,721.0,4.0,star
3.7,0.9,-10.01,0.74,0.18,-772.0,371.0,90.0,-15760.0,960.0,332.0,2.0,star
4.7,0.9,-10.01,0.94,0.18,-772.0,471.0,90.0,-15760.0,588.0,239.0,2.0,star
-5.3,1.9,-10.01,-1.06,0.38,-772.0,-531.0,190.0,-15760.0,505.0,159.0,3.0,star
-3.3,1.9,-10.01,-0.66,0.38,-772.0,-331.0,190.0,-15760.0,1115.0,287.0,3.0,star
-0.3,1.9,-10.01,-0.06,0.38,-772.0,-30.0,190.0,-15760.0,2106.0,537.0,3.0,star
